id_siniestro,nro_victimas,fecha,franja_hora,tipo_calle,Dirección Normalizada,comuna,longitud,latitud,vehiculo_victima,vehiculo_acusado,rol,sexo,edad,gravedad
2016-0077,1,2016-06-13,21,avenida,"PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",1,-58.37027770,-34.60536123,peaton,pasajeros,peaton,femenino,,fatal
2016-0078,1,2016-06-13,23,avenida,BELGRANO AV. y JUJUY AV.,3,-58.40491455,-34.61463830,moto,moto,conductor,masculino,30,fatal
2016-0079,1,2016-06-16,17,avenida,"DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",13,-58.45504154,-34.54864492,auto,auto,conductor,femenino,51,fatal
2016-0080,1,2016-06-18,6,gral paz,"PAZ, GRAL. AV. y RIVADAVIA AV.",9,-58.52927982,-34.63931752,auto,,conductor,masculino,60,fatal
2016-0081,1,2016-06-22,7,avenida,"LARRALDE, CRISOLOGO AV. y MACHAIN",12,-58.48721060,-34.55904606,moto,auto,conductor,masculino,40,fatal
2016-0082,1,2016-06-27,18,avenida,LA PLATA AV. 2384,4,-58.42273092,-34.64228803,peaton,auto,peaton,masculino,87,fatal
2016-0083,1,2016-06-28,20,avenida,"ALBERDI, JUAN BAUTISTA AV. y PUAN",6,-58.44788671,-34.62539009,peaton,moto,peaton,femenino,76,fatal
2016-0084,1,2016-06-29,22,calle,"PELLEGRINI, CARLOS y TUCUMAN",1,-58.38110563,-34.60135531,peaton,pasajeros,peaton,masculino,57,fatal
2016-0085,1,2016-06-29,22,avenida,"RABANAL, FRANCISCO, INTENDENTE AV. y EREZCANO",4,-58.42378834,-34.65734100,moto,otro,,masculino,,fatal
2016-0086,1,2016-06-30,16,avenida,"OLIVERA AV. y FALCON, RAMON L.,CNEL.",10,-58.48727942,-34.63652467,peaton,pasajeros,peaton,masculino,75,fatal
2016-0087,1,2016-07-02,0,autopista,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,1,-58.37864583,-34.62907067,moto,objeto fijo,conductor,masculino,23,fatal
2016-0088,1,2016-07-11,15,calle,CERETTI y NUÃ‘EZ,12,-58.50151750,-34.56767549,peaton,auto,peaton,femenino,70,fatal
2016-0089,1,2016-07-14,6,autopista,"LUGONES, LEOPOLDO AV. y LA PAMPA",13,-58.43233425,-34.55185825,peaton,auto,peaton,masculino,35,fatal
2016-0090,1,2016-07-14,22,avenida,"SALGUERO, JERONIMO y RIVADAVIA AV.",5,-58.41971993,-34.61112240,peaton,pasajeros,peaton,masculino,60,fatal
2016-0092,1,2016-07-15,11,gral paz,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-58.46743471,-34.53476874,moto,cargas,conductor,masculino,24,fatal
2016-0093,1,2016-07-17,3,avenida,"ALBERDI, JUAN BAUTISTA AV. y MITRE, EMILIO",6,-58.44362126,-34.62301748,auto,auto,conductor,masculino,35,fatal
2016-0095,1,2016-07-23,6,avenida,MERCEDES y MOSCONI GENERAL AV.,11,-58.51713095,-34.59546519,moto,auto,conductor,masculino,29,fatal
2016-0096,1,2016-07-25,7,autopista,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8,-58.47433193007387,-34.66684950051973,moto,cargas,conductor,masculino,,fatal
2016-0097,1,2016-07-26,18,calle,SOLIS y MEXICO,1,-58.39038605,-34.61562810,peaton,auto,peaton,masculino,80,fatal
2016-0098,1,2016-07-27,16,avenida,SAN JUAN AV. y ALBERTI,3,-58.40042405,-34.62356174,moto,cargas,conductor,femenino,43,fatal
