id_siniestro,nro_victimas,fecha,franja_hora,tipo_calle,Dirección Normalizada,comuna,longitud,latitud,vehiculo_victima,vehiculo_acusado,rol,sexo,edad,gravedad
2017-0021,1,2017-02-18,5,calle,SARMIENTO y LIBERTAD,1,-58.38362373,-34.60509972,moto,pasajeros,conductor,masculino,43,fatal
2017-0024,1,2017-02-23,20,avenida,RIVADAVIA AV. 7121,7,-58.46589308,-34.62955795,peaton,pasajeros,peaton,masculino,39,fatal
2017-0025,1,2017-02-24,17,avenida,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y RIVERA INDARTE AV.",7,-58.43614426,-34.65424640,moto,,conductor,masculino,23,fatal
2017-0026,2,2017-02-26,5,avenida,"MORENO, PERITO AV. y FOURNIER",4,-58.41842777,-34.64979057,auto,objeto fijo,pasajero_acompañante,femenino,23,fatal
2017-0026,2,2017-02-26,5,avenida,"MORENO, PERITO AV. y FOURNIER",4,-58.41842777,-34.64979057,auto,objeto fijo,conductor,masculino,19,fatal
2017-0027,1,2017-02-26,21,avenida,CASEROS AV. 1429,1,-58.38332245,-34.63193250,peaton,auto,peaton,masculino,,fatal
2017-0028,1,2017-02-28,9,avenida,GAONA AV. y FRAGATA PRES. SARMIENTO,6,-58.45475488,-34.61196327,peaton,auto,peaton,masculino,87,fatal
2017-0029,1,2017-03-07,2,calle,MOZART y TANDIL,9,-58.48501341,-34.64742455,,auto,,masculino,34,fatal
2017-0030,1,2017-03-07,8,avenida,MOZART y AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,9,-58.47010988,-34.65872088,auto,pasajeros,conductor,femenino,27,fatal
2017-0031,1,2017-03-11,1,calle,24 DE NOVIEMBRE y PAVON,3,-58.40997560,-34.62873635,auto,objeto fijo,pasajero_acompañante,masculino,70,fatal
2017-0032,1,2017-03-12,5,gral paz,"PAZ, GRAL. AV. y LOS CEDROS",8,-58.48892175,-34.68359163,auto,auto,pasajero_acompañante,femenino,40,fatal
2017-0033,1,2017-03-12,7,gral paz,"PAZ, GRAL. AV. y GUTIERREZ, RICARDO",11,-58.52466448,-34.60325478,auto,auto,conductor,masculino,28,fatal
2017-0034,1,2017-03-13,7,calle,GODOY CRUZ 2651,14,-58.42554218,-34.57929036,peaton,auto,peaton,masculino,43,fatal
2017-0035,3,2017-03-23,5,avenida,"ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA",1,-58.35881506,-34.61113641,auto,objeto fijo,conductor,masculino,28,fatal
2017-0035,3,2017-03-23,5,avenida,"ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA",1,-58.35881506,-34.61113641,auto,objeto fijo,pasajero_acompañante,masculino,32,fatal
2017-0035,3,2017-03-23,5,avenida,"ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA",1,-58.35881506,-34.61113641,auto,objeto fijo,pasajero_acompañante,masculino,30,fatal
2017-0036,2,2017-03-29,18,gral paz,"PAZ, GRAL. AV. y CAMPANA",12,-58.51452347,-34.58159762,moto,pasajeros,pasajero_acompañante,femenino,,fatal
2017-0036,2,2017-03-29,18,gral paz,"PAZ, GRAL. AV. y CAMPANA",12,-58.51452347,-34.58159762,moto,pasajeros,conductor,masculino,20,fatal
2017-0037,1,2017-03-31,3,avenida,"INDEPENDENCIA AV. y CEVALLOS, VIRREY",1,-58.38896772,-34.61799615,moto,cargas,conductor,masculino,41,fatal
2017-0038,1,2017-04-01,19,avenida,CASTAÃ‘ARES AV. y LAUTARO,7,-58.44516857,-34.64363363,moto,auto,conductor,femenino,40,fatal
2017-0040,1,2017-04-03,9,avenida,"GUIRALDES, INT. 2699",13,-58.43834197,-34.54560369,auto,multiple,conductor,masculino,43,fatal
2017-0041,1,2017-04-03,23,calle,"FERNANDEZ MORENO, BALDOMERO 2186",7,-58.45485084,-34.63531854,moto,auto,conductor,masculino,17,fatal
2017-0042,1,2017-04-10,9,gral paz,"LUGONES, LEOPOLDO AV.",14,-58.45757936,-34.53895793,moto,cargas,conductor,masculino,,fatal
2017-0045,1,2017-04-14,6,calle,NOGOYA 5940,10,-58.52449285,-34.62454175,moto,objeto fijo,conductor,masculino,21,fatal
